市公司,县公司,变电站,线路名称,可开放容量(kWh)
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,大甘变电站,20kV甘70甘凤二回,5.488
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,光华变电站,10kV华509华创线,8.34
国网武汉供电公司,国网武汉市汉口供电中心,武展变电站,10kV展57展松线,9.415
国网武汉供电公司,国网武汉市武昌供电中心,四美塘变电站,10kV美904美长线,16.232
国网武汉供电公司,国网武汉市汉口供电中心,仁寿路变电站,10kV仁71军工线,24.626
国网武汉供电公司,国网江夏区供电公司,阳光变电站,10kV阳光603阳齐线,25.048
国网武汉供电公司,国网黄陂区供电公司,滠口变电站,10kV滠55双桥线,25.149
国网武汉供电公司,国网武汉市青山供电中心,白玉山变电站,10kV白71尤庙线,26.466
国网武汉供电公司,国网江夏区供电公司,藏龙岛变电站,10kV藏83站开二回线,31.082
国网武汉供电公司,国网东西湖区供电公司,慈惠变电站,10kV慈71三林线,33.158
国网武汉供电公司,国网蔡甸区供电公司,知音变电站,10kV知514临嶂线,34.052
国网武汉供电公司,国网东西湖区供电公司,荷包湖变电站,10kV荷65荷御线,36.14
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,凌家山变电站,10kV凌59凌光线,36.99
国网武汉供电公司,国网黄陂区供电公司,环城变电站,10kV环406宝塔二回,38.451
国网武汉供电公司,国网武汉市汉阳供电中心,汤山变电站,10kV汤81汤加线,40.888
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,明玉变电站,10kV明玉506明建一回,47.984
国网武汉供电公司,国网江夏区供电公司,汤梁变电站,10kV梁605梁清二回线,54.414
国网武汉供电公司,国网武汉市武昌供电中心,付家坡变电站,10kV付80付商二回,60.058
国网武汉供电公司,国网蔡甸区供电公司,蔡甸变电站,10kV蔡57长江一回线,63.489
国网武汉供电公司,国网武汉市洪山供电中心,卓刀泉变电站,10kV卓75卓肿线,64.946
国网武汉供电公司,国网黄陂区供电公司,滠口变电站,10kV滠63粮库线,66.279
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,生物园变电站,20kV物504物龙线,67.848
国网武汉供电公司,国网蔡甸区供电公司,何湾变电站,10kV何58星光一回线,68.655
国网武汉供电公司,国网武汉市武昌供电中心,体育馆变电站,10kV体61体龙线,69.308
国网武汉供电公司,国网江夏区供电公司,山坡变电站,10kV山61保福线,71.448
国网武汉供电公司,国网武汉市汉口供电中心,民生变电站,10kV民63黄陂街线,71.213
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,明玉变电站,10kV明玉608明域一回,71.709
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,枫树变电站,10kV枫87枫川线,75.855
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,周店变电站,10kV店77店理工线,81.303
国网武汉供电公司,国网武汉市青山供电中心,桂家湾变电站,10kV桂75桂福线,89.063
国网武汉供电公司,国网蔡甸区供电公司,土山变电站,10kV土95千子山线,93.888
国网武汉供电公司,国网黄陂区供电公司,盘龙变电站,10kV盘60名流线,95.897
国网武汉供电公司,国网武汉市江岸供电中心,江汉路变电站,10kV江60江环线,96.916
国网武汉供电公司,国网武汉市江岸供电中心,精武路变电站,10kV精武509精渣左线,101.307
国网武汉供电公司,国网江夏区供电公司,藏龙岛变电站,10kV藏71凤凰线,103.797
国网武汉供电公司,国网黄陂区供电公司,刘店变电站,10kV刘店403刘天一回,106.98
国网武汉供电公司,国网东西湖区供电公司,幸福变电站,10kV幸63汉联线,106.467
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,枫树变电站,10kV枫81枫永线,111.654
国网武汉供电公司,国网武汉市洪山供电中心,巡司河变电站,10kV巡514巡智线,113.53
国网武汉供电公司,国网武汉市汉阳供电中心,琴台变电站,10kV台67台华线,114.174
国网武汉供电公司,国网东西湖区供电公司,网安变电站,10kV网安710网远线,113.827
国网武汉供电公司,国网新洲区供电公司,汪集变电站,10kV汪54宝龙线,121.259
国网武汉供电公司,国网武汉市长江新区供电公司,高潮变电站,10kV高602商东线,120.646
国网武汉供电公司,国网东西湖区供电公司,慈惠变电站,10kV慈56慈家线,123.795
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,大甘变电站,20kV甘61甘凤一回,123.888
国网武汉供电公司,国网东西湖区供电公司,三金潭变电站,10kV潭60海昌线,125.948
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,中山湖变电站,10kV中702中亭线,126.335
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,生物园变电站,20kV物410物高一回,130.202
国网武汉供电公司,国网武汉市洪山供电中心,曹家铺变电站,10kV曹802曹锦源线,130.754
国网武汉供电公司,国网武汉市长江新区供电公司,堤角变电站,10kV堤福线堤66,132.929
国网武汉供电公司,国网武汉市武昌供电中心,下新河变电站,10kV下64武船线,135.552
国网武汉供电公司,国网武汉市汉阳供电中心,琴台变电站,10kV台69台干线,136.77
国网武汉供电公司,国网东西湖区供电公司,走马岭变电站,10kV走78岭祥线,137.55
国网武汉供电公司,国网武汉市青山供电中心,桂家湾变电站,10kV桂67桂侨线,140.311
国网武汉供电公司,国网武汉市武昌供电中心,秦园路变电站,10kV秦67秦福二回线,142.663
国网武汉供电公司,国网东西湖区供电公司,马池变电站,10kV马70玉龙线,142.486
国网武汉供电公司,国网江夏区供电公司,岳府湾变电站,10kV岳89青龙二回线,158.535
国网武汉供电公司,国网武汉市江岸供电中心,谌家矶变电站,10kV谌63五福线,160.217
国网武汉供电公司,国网武汉市汉口供电中心,营房村变电站,10kV营509营瑞线,159.903
国网武汉供电公司,国网黄陂区供电公司,横店变电站,10kV横58水塔线,162.006
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,周店变电站,10kV店72店尚二回,167.3
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,庙山变电站,10kV庙80庙镇五回,165.373
国网武汉供电公司,国网东西湖区供电公司,走马岭变电站,10kV走79同心线,167.286
国网武汉供电公司,国网武汉市武昌供电中心,汪家墩变电站,10kV汪503君临线,171.263
国网武汉供电公司,国网江夏区供电公司,阳光变电站,10kV阳光602阳郡二回线,176.327
国网武汉供电公司,国网武汉市汉口供电中心,唐家墩变电站,10kV唐93唐马线,179.586
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,佛祖岭变电站,20kV佛71佛生一回,181.622
国网武汉供电公司,国网东西湖区供电公司,海口变电站,10kV海94赛翡丽线,180.974
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,太山寺变电站,10kV寺503寺排线,190.543
